"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","08.08.2024 10:00 - 08.08.2024 11:00 (CET/CEST)","3","n/e","n/e","65","311","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","926","58","354","446"
"BZN|DK1","08.08.2024 11:00 - 08.08.2024 12:00 (CET/CEST)","3","n/e","n/e","65","274","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1112","58","407","694"
"BZN|DK1","08.08.2024 12:00 - 08.08.2024 13:00 (CET/CEST)","3","n/e","n/e","61","296","13","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1292","57","460","789"
"BZN|DK1","08.08.2024 13:00 - 08.08.2024 14:00 (CET/CEST)","3","n/e","n/e","58","245","12","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1535","81","580","895"
"BZN|DK1","08.08.2024 14:00 - 08.08.2024 15:00 (CET/CEST)","3","n/e","n/e","56","241","12","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1572","58","574","1097"
"BZN|DK1","08.08.2024 15:00 - 08.08.2024 16:00 (CET/CEST)","3","n/e","n/e","57","246","12","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1636","57","565","1268"
"BZN|DK1","08.08.2024 16:00 - 08.08.2024 17:00 (CET/CEST)","3","n/e","n/e","59","213","12","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1439","58","562","1293"
"BZN|DK1","08.08.2024 17:00 - 08.08.2024 18:00 (CET/CEST)","3","n/e","n/e","90","332","14","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1","1221","57","486","1133"
"BZN|DK1","08.08.2024 18:00 - 08.08.2024 19:00 (CET/CEST)","4","n/e","n/e","149","538","18","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","732","59","545","912"
"BZN|DK1","08.08.2024 19:00 - 08.08.2024 20:00 (CET/CEST)","3","n/e","n/e","148","680","16","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","322","58","461","684"
"BZN|DK1","08.08.2024 20:00 - 08.08.2024 21:00 (CET/CEST)","4","n/e","n/e","160","743","16","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","61","58","496","390"
"BZN|DK1","08.08.2024 21:00 - 08.08.2024 22:00 (CET/CEST)","4","n/e","n/e","151","773","17","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","3","59","513","307"
"BZN|DK1","08.08.2024 22:00 - 08.08.2024 23:00 (CET/CEST)","3","n/e","n/e","131","608","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","1","58","679","426"
"BZN|DK1","08.08.2024 23:00 - 09.08.2024 00:00 (CET/CEST)","3","n/e","n/e","103","330","15","n/e","n/e","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","2","1","58","731","600"
